source_name,target_name,value
Utilities,Sewage treatment facilities,92.00
Utilities,Not specified utilities,31.00
,,
Information,Newspaper publishers,191.00
Information,"Periodical, book, and directory publishers",264.00
Information,Software publishers,91.00
Information,Motion pictures and video industries,398.00
Information,Sound recording industries,53.00
Information,Radio and television broadcasting and cable subscription programming,593.00
Information,Internet publishing and broadcasting and web search portals,114.00
Information,Wired telecommunications carriers,502.00
Information,Other telecommunications services,430.00
Information,"Data processing, hosting, and related services",104.00
Information,Libraries and archives,196.00
Information,Other information services,50.00
,,
Financial activities,Finance and insurance,
Financial activities,Real estate and rental and leasing,
,,
Finance and insurance,Banking and related activities,2051.00
Finance and insurance,"Savings institutions, including credit unions",220.00
Finance and insurance,Nondepository credit and related activities,998.00
Finance and insurance,"Securities, commodities, funds, trusts, and other financial investments",1082.00
Finance and insurance,Insurance carriers and related activities,2730.00
,,
Real estate and rental and leasing,Real estate,2617.00
Real estate and rental and leasing,Automotive equipment rental and leasing,174.00
Real estate and rental and leasing,Video tape and disk rental,11.00
Real estate and rental and leasing,Other consumer goods rental,92.00
Real estate and rental and leasing,"Commercial, industrial, and other intangible assets rental and leasing",111.00
,,
Professional and business services,Professional and technical services,
Professional and business services,"Management, administrative, and waste services",
,,
Professional and technical services,Legal services,1595.00
Professional and technical services,"Accounting, tax preparation, bookkeeping, and payroll services",1095.00
Professional and technical services,"Architectural, engineering, and related services",1521.00
Professional and technical services,Specialized design services,395.00
Professional and technical services,Computer systems design and related services,2542.00
Professional and technical services,"Management, scientific, and technical consulting services",1554.00
Professional and technical services,Scientific research and development services,572.00
Professional and technical services,"Advertising, public relations, and related services",559.00
Professional and technical services,Veterinary services,349.00
Professional and technical services,"Other professional, scientific, and technical services",443.00
,,
"Management, administrative, and waste services",Management of companies and enterprises,193.00
"Management, administrative, and waste services",Employment services,978.00
"Management, administrative, and waste services",Business support services,803.00
"Management, administrative, and waste services",Travel arrangements and reservation services,299.00
"Management, administrative, and waste services",Investigation and security services,782.00
"Management, administrative, and waste services",Services to buildings and dwellings,1518.00
"Management, administrative, and waste services",Landscaping services,1356.00
"Management, administrative, and waste services",Other administrative and other support services,300.00
"Management, administrative, and waste services",Waste management and remediation services,552.00
,,
Education and health services,Educational services,
Education and health services,Health care and social assistance,
,,
Educational services,Elementary and secondary schools,8892.00
Educational services,"Colleges, universities, and professional schools, including junior colleges",3792.00
Educational services,"Business, technical, and trade schools and training",107.00
Educational services,"Other schools and instruction, and educational support services",811.00
,,
Health care and social assistance,Hospitals,6698.00
Health care and social assistance,Offices of physicians,1678.00
Health care and social assistance,Offices of dentists,895.00
Health care and social assistance,Offices of chiropractors,152.00
Health care and social assistance,Offices of optometrists,141.00
Health care and social assistance,Offices of other health practitioners,334.00
Health care and social assistance,Outpatient care centers,1623.00
Health care and social assistance,Home health care services,1379.00
Health care and social assistance,Other health care services,1331.00
Health care and social assistance,Nursing care facilities (skilled nursing facilities),1830.00
Health care and social assistance,"Residential care facilities, except skilled nursing facilities",802.00
,,
Health care and social assistance,Individual and family services,1493.00
Health care and social assistance,"Community food and housing, and emergency services",113.00
Health care and social assistance,Vocational rehabilitation services,115.00
Health care and social assistance,Child day care services,1492.00
,,
Leisure and hospitality,"Arts, entertainment, and recreation",
Leisure and hospitality,Accommodation and food services,
,,
"Arts, entertainment, and recreation","Independent artists, performing arts, spectator sports, and related industries",879.00
"Arts, entertainment, and recreation","Museums, art galleries, historical sites, and similar institutions",353.00
"Arts, entertainment, and recreation",Bowling centers,39.00
"Arts, entertainment, and recreation","Other amusement, gambling, and recreation industries",1913.00
,,
Accommodation and food services,Traveler accommodation,1481.00
Accommodation and food services,"Recreational vehicle parks and camps, and rooming and boarding houses",91.00
Accommodation and food services,Restaurants and other food services,8835.00
Accommodation and food services,"Drinking places, alcoholic beverages",231.00
,,
Other services,Repair and maintenence,
Other services,Personal and laundry services,
Other services,Membership associations and organizations,
Other services,Private households,798.00
,,
Repair and maintenence,Automotive repair and maintenance,1275.00
Repair and maintenence,Car washes,167.00
Repair and maintenence,Electronic and precision equipment repair and maintenance,141.00
Repair and maintenence,Commercial and industrial machinery and equipment repair and maintenance,328.00
Repair and maintenence,Personal and household goods repair and maintenance,200.00
Repair and maintenence,Footwear and leather goods repair,1.00
,,
Personal and laundry services,Barber shops,115.00
Personal and laundry services,Beauty salons,908.00
Personal and laundry services,Nail salons and other personal care services,496.00
Personal and laundry services,Drycleaning and laundry services,255.00
Personal and laundry services,"Funeral homes, and cemeteries and crematories",129.00
Personal and laundry services,Other personal services,429.00
,,
Membership associations and organizations,Religious organizations,1093.00
Membership associations and organizations,"Civic, social, advocacy organizations, and grantmaking and giving services",717.00
Membership associations and organizations,Labor unions,66.00
Membership associations and organizations,"Business, professional, political, and similar organizations",144.00
,,
Public administration,Executive offices and legislative bodies,1000.00
Public administration,Public finance activities,322.00
Public administration,Other general government and support,138.00
Public administration,"Justice, public order, and safety activities",2856.00
Public administration,Administration of human resource programs,1000.00
Public administration,Administration of environmental quality and housing programs,260.00
Public administration,Administration of economic programs and space research,554.00
Public administration,National security and international affairs,799.00
